account_id,platform,date,balance,equity,floating_pnl,credit,margin_level
AD4V30T9NT,cTrader,2025-07-10,45316.41,45391.84,-24.57,100,219.0
AD4V30T9NT,cTrader,2025-07-11,45193.79,45031.81,-161.98,0,126.8
AD4V30T9NT,cTrader,2025-07-12,45104.44,45368.05,163.61,100,264.13
AD4V30T9NT,cTrader,2025-07-13,45185.36,45390.38,5.02,200,167.26
AD4V30T9NT,cTrader,2025-07-14,45197.41,45254.44,-142.97,200,258.82
AD4V30T9NT,cTrader,2025-07-15,45213.21,45203.15,-60.06,50,202.85
AD4V30T9NT,cTrader,2025-07-16,45485.23,45613.25,78.02,50,169.14
AD4V30T9NT,cTrader,2025-07-17,45453.24,45797.8,144.56,200,243.73
AD4V30T9NT,cTrader,2025-07-18,45547.57,45446.98,-100.59,0,142.86
AD4V30T9NT,cTrader,2025-07-19,45699.88,45668.51,-31.37,0,
AD4V30T9NT,cTrader,2025-07-20,45791.42,45847.8,6.38,50,135.66
AD4V30T9NT,cTrader,2025-07-21,45988.12,45944.71,-43.41,0,144.79
AD4V30T9NT,cTrader,2025-07-22,46031.56,46213.83,132.27,50,289.09
AD4V30T9NT,cTrader,2025-07-23,45891.22,45981.04,-10.18,100,117.33
AD4V30T9NT,cTrader,2025-07-24,46086.48,46075.03,-111.45,100,97.1
AD4V30T9NT,cTrader,2025-07-25,46404.31,46436.03,31.72,0,212.61
AD4V30T9NT,cTrader,2025-07-26,46779.54,46769.07,-60.47,50,288.96
AD4V30T9NT,cTrader,2025-07-27,46698.83,46768.13,69.3,0,272.87
AD4V30T9NT,cTrader,2025-07-28,46994.16,46878.39,-115.77,0,185.68
AD4V30T9NT,cTrader,2025-07-29,47032.08,47024.16,-57.92,50,264.43
AD4V30T9NT,cTrader,2025-07-30,47319.32,47087.24,-232.08,0,
AD4V30T9NT,cTrader,2025-07-31,47139.06,47359.68,20.62,200,299.26
AD4V30T9NT,cTrader,2025-08-01,47042.18,47384.83,142.65,200,163.13
AD4V30T9NT,cTrader,2025-08-02,47104.67,47034.99,-69.68,0,213.36
