trade_id,platform,account_id,client_external_id,symbol,side,volume,open_time,close_time,open_price,close_price,commission,realized_pnl,book_flag,counterparty,quote_currency,status
TQC3C54WSQT,cTrader,A6CCVCJWTL,EXT00033,EURUSD,S,20.0,2025-07-30T10:26:32Z,2025-08-10T15:30:36Z,2414.90956,2400.67655,-10.0,-8736.62,A,B2Prime,EUR,CLOSED
T6UGVS8Q349,MT5,AN92XF8E8L,EXT00027,XCUUSD.m,BUY,50.0,2025-07-17T08:35:09Z,2025-08-08T04:38:48Z,1518.70416,1523.5784,-3.0,15501.96,A,B2Prime,EUR,CLOSED
TXBZ9SVN7N1,MT5,AK7W1DAKRM,EXT00019,US30.m,SELL,500.0,2025-07-19T11:02:30Z,2025-08-12T22:58:01Z,537.68374,537.4764,-10.0,-2993.83,B,,EUR,OPEN
T2XCDYK0X65,cTrader,AD4V30T9NT,EXT00000,US30,SELL,5.0,2025-08-13T09:22:43Z,2025-08-13T11:22:06Z,1798.21064,1793.39317,-0.5,-2348.19,B,LP_TEST,GBP,CLOSED
TUFM8ZOV7LN,MT5,ATQYYV37DI,EXT00031,LTCUSD.m,BUY,5.0,2025-07-31T13:11:09Z,2025-08-02T12:44:51Z,1812.70204,1808.66591,-10.0,991.24,A,LP_MAIN,EUR,CLOSED
TY30YSXPNNG,MT5,AMUEKIPU1W,EXT00035,JPN225.m,buy,0.05,2025-07-31T07:29:38Z,2025-08-03T10:01:20Z,1168.77221,1169.94432,2.0,-0.88,A,B2Prime,USD,CLOSED
T8RIEC4D145,MT5,AMLY4LYK83,EXT00023,LTCUSD.m,S,50.0,2025-07-25T18:20:37Z,2025-08-03T01:30:01Z,1147.64451,1147.57053,2.0,-194.53,A,LP_MAIN,EUR,CLOSED
T5WVFGYW6ZB,MT5,A1SWJCKJLT,EXT00012,XAUUSD.m,SELL,20.0,2025-07-17T04:46:12Z,2025-08-02T13:12:44Z,1717.36622,1712.19769,-0.5,-3679.28,B,B2Prime,GBP,CLOSED
T8V12II826G,MT5,AKTAKPUXQP,EXT00010,EURUSD,SELL,10.0,2025-08-02T01:13:50Z,2025-08-07T19:41:06Z,723.10559,722.94942,0.0,-136.52,A,LP_MAIN,USD,CLOSED
TQKNS832EJX,cTrader,AD4V30T9NT,EXT00000,JPN225,sell,1.0,2025-08-12T01:22:40Z,2025-08-13T09:32:39Z,2151.96067,2151.47441,-1.5,-5.65,B,B2Prime,GBP,CLOSED
